DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall
100.0,General,3,3,3,3,3,1,3,1,3
102.0,General,3,3,3,3,3,1,3,1,3
103.0,General,3,3,3,3,3,1,3,1,3
105.0,General,3,3,3,1,4,3,3,1,3
106.0,General,3,3,0,3,3,1,4,1,0
107.0,General,0,1,0,1,4,3,4,4,0
109.0,General,0,1,0,3,3,1,4,4,0
110.0,General,0,1,0,1,4,3,4,4,0
111.0,General,0,1,0,1,4,3,4,4,0
112.0,General,0,1,0,1,4,3,4,4,0
113.0,General,0,1,0,1,4,3,1,3,0
114.0,General,0,1,0,2,0,1,1,3,0
115.0,General,0,1,0,1,4,3,1,3,0
118.0,General,1,4,1,1,0,0,1,0,1
119.0,General,0,1,0,1,0,0,1,3,0
120.0,General,1,4,1,2,0,0,0,0,4
121.0,General,1,4,1,2,0,2,1,0,1
122.0,General,1,0,1,2,0,0,0,0,1
123.0,General,1,0,1,4,2,2,0,0,4
124.0,General,2,2,2,0,1,4,2,2,2
125.0,General,2,0,2,0,0,0,0,0,1
126.0,General,2,2,2,4,2,2,0,0,1
127.0,General,2,2,2,0,1,4,2,2,2
128.0,General,4,0,4,0,0,0,0,0,1
129.0,General,2,2,2,0,1,4,2,2,2
130.0,General,2,2,2,4,2,2,2,2,2
131.0,General,2,2,2,0,1,4,2,2,2
132.0,General,2,2,2,0,1,4,2,2,2
133.0,General,2,2,2,0,1,4,2,2,2
134.0,General,4,0,4,0,1,0,2,2,2
100.0,OBC,3,0,0,1,3,1,1,1,3
102.0,OBC,3,0,0,1,3,1,1,1,3
103.0,OBC,3,0,0,1,3,1,1,1,3
105.0,OBC,3,0,0,3,4,1,1,1,3
106.0,OBC,3,0,0,3,4,0,0,1,4
107.0,OBC,3,0,0,3,4,0,0,1,4
109.0,OBC,1,0,0,1,1,1,0,0,0
110.0,OBC,1,0,0,3,4,0,0,0,4
111.0,OBC,1,4,1,3,4,0,0,0,4
112.0,OBC,1,4,1,1,1,0,0,0,0
113.0,OBC,1,3,1,1,1,0,0,0,0
114.0,OBC,1,3,1,1,1,0,0,0,0
115.0,OBC,1,3,1,0,4,0,0,0,0
118.0,OBC,1,3,1,0,1,0,0,0,0
119.0,OBC,1,3,1,0,1,0,0,0,0
120.0,OBC,2,2,3,0,1,0,4,2,2
121.0,OBC,2,2,3,2,0,2,4,2,2
122.0,OBC,2,2,3,0,2,3,4,2,2
123.0,OBC,4,2,4,4,0,2,3,3,2
124.0,OBC,0,1,2,4,0,2,4,3,2
125.0,OBC,0,1,2,2,2,3,2,3,1
126.0,OBC,0,1,2,0,2,3,2,3,1
127.0,OBC,0,1,2,0,2,3,2,3,1
128.0,OBC,2,2,3,2,0,4,3,2,2
129.0,OBC,0,1,2,0,2,3,2,4,1
130.0,OBC,0,1,2,2,2,3,2,4,1
131.0,OBC,0,1,2,0,2,3,2,4,1
132.0,OBC,0,1,2,0,2,3,2,4,1
133.0,OBC,0,1,2,0,2,3,2,4,1
134.0,OBC,0,1,2,2,0,4,2,4,1
100.0,Overall,1,0,1,3,3,3,3,2,2
102.0,Overall,1,0,1,3,3,3,3,2,2
103.0,Overall,1,0,1,3,3,3,3,2,2
105.0,Overall,1,0,1,4,4,1,3,2,2
106.0,Overall,1,0,1,4,4,1,1,0,0
107.0,Overall,1,0,1,4,4,1,1,0,0
109.0,Overall,3,0,3,1,1,3,1,0,0
110.0,Overall,3,0,3,4,4,1,1,0,0
111.0,Overall,3,0,3,4,4,1,1,0,0
112.0,Overall,3,2,3,4,4,1,1,0,0
113.0,Overall,3,2,3,1,4,4,1,0,0
114.0,Overall,3,2,3,1,1,4,1,0,0
115.0,Overall,3,2,3,4,4,1,4,0,0
118.0,Overall,2,2,2,1,1,4,0,1,1
119.0,Overall,2,2,2,1,1,4,4,0,0
120.0,Overall,0,1,0,1,1,4,0,1,1
121.0,Overall,0,1,0,0,2,0,0,1,1
122.0,Overall,2,3,2,0,2,0,0,4,4
123.0,Overall,2,3,2,0,2,0,0,4,4
124.0,Overall,2,3,2,0,2,0,0,4,4
125.0,Overall,2,3,2,2,0,2,2,4,4
126.0,Overall,2,3,2,0,2,0,0,4,4
127.0,Overall,2,3,2,2,0,2,2,4,4
128.0,Overall,0,1,0,0,2,0,0,1,1
129.0,Overall,4,4,4,2,0,2,2,3,3
130.0,Overall,4,4,4,0,0,0,2,3,3
131.0,Overall,4,4,4,2,0,2,2,3,3
132.0,Overall,4,4,4,2,0,2,2,3,3
133.0,Overall,4,4,4,2,0,2,2,3,3
134.0,Overall,0,1,0,0,0,0,2,3,3
100.0,SC,1,1,0,0,1,0,1,3,3
102.0,SC,1,1,0,0,1,0,1,3,3
103.0,SC,1,1,0,0,1,0,1,3,3
105.0,SC,1,1,0,0,1,0,1,3,3
106.0,SC,1,4,0,0,4,4,1,3,3
107.0,SC,1,1,0,2,4,4,0,0,0
109.0,SC,1,1,0,0,0,0,0,0,0
110.0,SC,1,1,0,2,4,4,0,0,0
111.0,SC,1,1,0,2,4,4,0,0,0
112.0,SC,0,4,2,2,0,4,0,0,1
113.0,SC,0,3,0,4,0,0,0,0,0
114.0,SC,0,3,0,4,0,0,0,0,0
115.0,SC,0,3,0,2,4,3,0,0,0
118.0,SC,0,3,1,4,0,3,0,0,0
119.0,SC,0,3,1,4,0,3,0,0,0
120.0,SC,3,3,1,2,0,3,0,0,0
121.0,SC,4,0,2,4,3,1,4,2,4
122.0,SC,3,0,3,4,0,3,3,4,1
123.0,SC,4,0,2,4,3,1,4,2,4
124.0,SC,2,2,1,1,3,1,3,1,2
125.0,SC,3,0,3,3,2,2,2,1,2
126.0,SC,2,2,1,3,2,2,2,1,2
127.0,SC,2,2,1,3,2,2,2,1,2
128.0,SC,3,0,3,1,3,1,3,4,1
129.0,SC,2,2,4,3,2,2,2,1,2
130.0,SC,2,2,4,3,2,2,2,1,2
131.0,SC,2,2,4,3,2,2,2,1,2
132.0,SC,2,2,4,3,2,2,2,1,2
133.0,SC,2,2,4,3,2,2,2,1,2
134.0,SC,2,2,4,1,3,1,2,1,2
100.0,ST,3,0,1,3,4,1,2,4,3
102.0,ST,3,0,1,3,4,1,2,4,3
103.0,ST,3,0,1,3,4,1,2,4,3
105.0,ST,1,0,1,3,3,1,2,0,3
106.0,ST,3,0,1,0,3,4,2,0,3
107.0,ST,1,1,3,0,3,4,1,0,1
109.0,ST,1,1,3,2,0,1,2,0,3
110.0,ST,1,1,3,0,3,4,1,0,1
111.0,ST,1,1,3,0,3,4,1,0,1
112.0,ST,1,1,3,0,0,3,1,0,1
113.0,ST,1,1,3,0,0,3,1,0,1
114.0,ST,1,1,3,0,0,3,1,0,1
115.0,ST,1,1,3,0,0,3,1,0,1
118.0,ST,4,3,2,2,0,2,0,3,0
119.0,ST,4,3,2,2,0,2,0,3,0
120.0,ST,0,2,0,1,0,3,0,3,0
121.0,ST,0,3,0,2,1,2,0,3,0
122.0,ST,4,3,2,2,0,2,0,3,0
123.0,ST,4,3,2,2,1,2,0,3,0
124.0,ST,2,3,2,2,1,2,0,3,0
125.0,ST,0,3,0,1,1,0,3,2,4
126.0,ST,0,2,0,1,2,0,3,1,4
127.0,ST,2,4,4,1,2,0,0,1,2
128.0,ST,0,2,0,4,2,0,3,1,4
129.0,ST,2,4,4,4,2,0,4,1,2
130.0,ST,2,4,4,4,2,0,4,1,2
131.0,ST,2,4,4,4,2,0,4,1,2
132.0,ST,2,4,4,4,1,0,3,1,2
133.0,ST,2,4,4,1,2,0,4,1,2
134.0,ST,0,2,0,4,2,0,4,1,2
