DNo,Location,Social Category,Income,dropout,upPrim_Boys_social_category,upPrim_Boys_income
10001,ANANTAPUR,General,High,0,73.4517753124237,26.548224687576294
10001,ANANTAPUR,OBC,High,1,6.243664398789406,93.75633597373962
10001,ANANTAPUR,SC,High,1,13.27049732208252,86.72950863838196
10001,ANANTAPUR,ST,High,1,3.261403739452362,96.73859477043152
10001,ANANTAPUR,Overall,High,1,7.992584258317947,92.00741648674011
10002,CHITTOOR,General,High,0,70.05413174629211,29.945862293243408
10002,CHITTOOR,OBC,High,0,77.45036482810974,22.54963517189026
10002,CHITTOOR,SC,High,0,65.46606719493866,34.53393578529358
10002,CHITTOOR,ST,High,1,0.2684085862711072,99.73159432411194
10002,CHITTOOR,Overall,High,0,52.67353653907776,47.326457500457764
10003,EASTGODAVARI,General,High,1,22.31348603963852,77.68651843070984
10003,EASTGODAVARI,OBC,High,1,35.16567647457123,64.83432054519653
10003,EASTGODAVARI,SC,High,1,28.47844362258911,71.52156233787537
10003,EASTGODAVARI,ST,High,1,0.12431921204552054,99.87567663192749
10003,EASTGODAVARI,Overall,High,1,10.834334790706635,89.16566967964172
10004,GUNTUR,General,High,0,51.112014055252075,48.887985944747925
10004,GUNTUR,OBC,High,1,24.691519141197205,75.30848383903503
10004,GUNTUR,SC,High,1,30.572587251663208,69.42741274833679
10004,GUNTUR,ST,High,1,0.19727095495909452,99.80272650718689
10004,GUNTUR,Overall,High,1,16.27420336008072,83.7257981300354
10005,KADAPA,General,High,0,78.63240242004395,21.367603540420532
10005,KADAPA,OBC,High,1,0.3931705839931965,99.60682392120361
10005,KADAPA,SC,High,1,11.626742035150528,88.37326169013977
10005,KADAPA,ST,High,1,3.3689573407173157,96.63103818893433
10005,KADAPA,Overall,High,1,3.446831926703453,96.55317068099976
10006,KRISHNA,General,High,0,78.63240242004395,21.367603540420532
10006,KRISHNA,OBC,High,0,78.03103774785995,21.968960762023926
10006,KRISHNA,SC,High,1,16.214613616466522,83.78538489341736
10006,KRISHNA,ST,High,1,0.25399147998541594,99.74600672721863
10006,KRISHNA,Overall,High,0,59.683287143707275,40.316712856292725
10007,KURNOOL,General,High,0,78.63239794969559,21.367603540420532
10007,KURNOOL,OBC,High,1,0.21475900430232286,99.78524446487427
10007,KURNOOL,SC,High,1,1.3455243781208992,98.65447878837585
10007,KURNOOL,ST,High,1,23.594608902931213,76.40538811683655
10007,KURNOOL,Overall,High,1,0.46920236200094223,99.5307981967926
10008,NELLORE,General,High,0,78.63240242004395,21.367603540420532
10008,NELLORE,OBC,High,1,39.881205558776855,60.11880040168762
10008,NELLORE,SC,High,1,14.472626149654388,85.52737832069397
10008,NELLORE,ST,High,1,0.030126480851322412,99.96987581253052
10008,NELLORE,Overall,High,1,3.503110259771347,96.49689197540283
10009,PRAKASAM,General,High,1,14.793895184993744,85.20610928535461
10009,PRAKASAM,OBC,High,1,12.96854317188263,87.03145980834961
10009,PRAKASAM,SC,High,1,1.0859320871531963,98.91406297683716
10009,PRAKASAM,ST,High,1,0.03866945917252451,99.9613344669342
10009,PRAKASAM,Overall,High,1,1.5703745186328888,98.42962622642517
10010,SRIKAKULAM,General,High,1,44.838544726371765,55.161458253860474
10010,SRIKAKULAM,OBC,High,0,73.41521382331848,26.58478617668152
10010,SRIKAKULAM,SC,High,0,81.68747425079346,18.31253170967102
10010,SRIKAKULAM,ST,High,1,1.559776347130537,98.44021797180176
10010,SRIKAKULAM,Overall,High,0,53.50925922393799,46.490734815597534
10011,VISAKHAPATNAM,General,High,1,8.150918781757355,91.84908270835876
10011,VISAKHAPATNAM,OBC,High,0,80.24546951055527,19.754528999328613
10011,VISAKHAPATNAM,SC,High,0,59.17311608791351,40.826886892318726
10011,VISAKHAPATNAM,ST,High,1,0.1768781105056405,99.82312321662903
10011,VISAKHAPATNAM,Overall,High,1,38.22003901004791,61.779963970184326
10012,VIZIANAGARAM,General,High,0,78.63240242004395,21.367603540420532
10012,VIZIANAGARAM,OBC,High,1,11.69954165816307,88.30046057701111
10012,VIZIANAGARAM,SC,High,0,59.98126268386841,40.01873731613159
10012,VIZIANAGARAM,ST,High,1,0.4469296894967556,99.55307841300964
10012,VIZIANAGARAM,Overall,High,1,15.38027673959732,84.6197247505188
10013,WESTGODAVARI,General,High,1,28.660881519317627,71.3391125202179
10013,WESTGODAVARI,OBC,High,1,41.50075912475586,58.49923491477966
10013,WESTGODAVARI,SC,High,0,65.46606719493866,34.53393578529358
10013,WESTGODAVARI,ST,High,1,0.1779144979082048,99.82208609580994
10013,WESTGODAVARI,Overall,High,1,25.2700537443161,74.72994327545166
10101,ArunachalPradesh,General,High,1,0.8927991613745689,99.10719990730286
10101,ArunachalPradesh,SC,High,0,81.68747425079346,18.31253170967102
10101,ArunachalPradesh,ST,High,1,0.20438656210899353,99.79561567306519
10101,ArunachalPradesh,OBC,High,1,46.45708501338959,53.54292392730713
10201,BAJALI,General,High,0,78.63240242004395,21.367603540420532
10201,BAJALI,OBC,High,0,80.24546951055527,19.754528999328613
10201,BAJALI,SC,High,0,81.68747425079346,18.31253170967102
10201,BAJALI,ST,High,0,82.39225745201111,17.60774254798889
10201,BAJALI,Overall,High,0,71.34977579116821,28.650224208831787
10202,BAKSA,General,Low,1,1.4792243518968462e-05,99.99998807907104
10202,BAKSA,OBC,Low,1,1.9419016439314873e-05,99.99997615814209
10202,BAKSA,SC,Low,1,4.3141570316151956e-07,100.0
10202,BAKSA,ST,Low,1,3.9816282537685765e-05,99.99996423721313
10202,BAKSA,Overall,Low,1,2.1146229300939012e-05,99.99997615814209
10203,BARPETA,General,High,1,0.007473938603652641,99.99252557754517
10203,BARPETA,OBC,High,1,0.00011586101891225553,99.99988079071045
10203,BARPETA,SC,High,1,0.0019272030840511434,99.99806880950928
10203,BARPETA,ST,High,1,0.00017635978792895912,99.99982118606567
10203,BARPETA,Overall,High,1,0.00438684546679724,99.99561309814453
10204,BISWANATH,General,High,1,0.5851747002452612,99.41482543945312
10204,BISWANATH,OBC,High,1,0.07184250862337649,99.92815852165222
10204,BISWANATH,SC,High,1,0.2755234483629465,99.72448348999023
10204,BISWANATH,ST,High,1,0.1481471350416541,99.85185265541077
10204,BISWANATH,Overall,High,1,0.16758316196501255,99.83242154121399
10205,BONGAIGAON,General,High,1,0.08198438445106149,99.91801381111145
10205,BONGAIGAON,OBC,High,0,72.42127656936646,27.578723430633545
10205,BONGAIGAON,SC,High,1,0.23080618120729923,99.76919889450073
10205,BONGAIGAON,ST,High,1,6.2860265374183655,93.71397495269775
10205,BONGAIGAON,Overall,High,1,0.1187046873383224,99.88129138946533
10206,CACHAR,General,Low,1,0.13682044809684157,99.86317753791809
10206,CACHAR,OBC,Low,1,0.09451759397052228,99.90548491477966
10206,CACHAR,SC,Low,1,0.04124751430936158,99.95874762535095
10206,CACHAR,ST,Low,1,0.0010088709132105578,99.99898672103882
10206,CACHAR,Overall,Low,1,0.059427996166050434,99.94057416915894
10207,CHARAIDEO,General,Low,0,51.65579915046692,48.34420084953308
10207,CHARAIDEO,OBC,Low,1,0.052681617671623826,99.94731545448303
10207,CHARAIDEO,SC,Low,1,0.05386382690630853,99.94613528251648
10207,CHARAIDEO,ST,Low,1,0.0014988940165494569,99.99849796295166
10207,CHARAIDEO,Overall,Low,1,0.058035028632730246,99.94196891784668
10208,CHIRANG,General,High,1,0.06500912131741643,99.93498921394348
10208,CHIRANG,OBC,High,0,80.24546951055527,19.754528999328613
10208,CHIRANG,SC,High,0,81.68747425079346,18.31253170967102
10208,CHIRANG,ST,High,0,82.39225745201111,17.60774254798889
10208,CHIRANG,Overall,High,1,0.5040794145315886,99.49592351913452
10209,DARRANG,General,High,1,0.07279220735654235,99.92720484733582
10209,DARRANG,OBC,High,1,0.22990142460912466,99.77009892463684
10209,DARRANG,SC,High,1,5.915958806872368,94.08403635025024
10209,DARRANG,ST,High,1,0.25624281261116266,99.7437596321106
10209,DARRANG,Overall,High,1,0.08374334429390728,99.91625547409058
10210,DHEMAJI,General,High,1,0.019706682360265404,99.98030066490173
10210,DHEMAJI,OBC,High,1,0.14183728490024805,99.85816478729248
10210,DHEMAJI,SC,High,1,0.25144300889223814,99.74855184555054
10210,DHEMAJI,ST,High,1,0.1561477896757424,99.84385371208191
10210,DHEMAJI,Overall,High,1,0.1973673701286316,99.80263113975525
10211,DHUBRI,General,High,1,0.04274621314834803,99.95725750923157
10211,DHUBRI,OBC,High,0,80.24546951055527,19.754528999328613
10211,DHUBRI,SC,High,1,0.7638095412403345,99.23619031906128
10211,DHUBRI,ST,High,1,0.008121703285723925,99.99188184738159
10211,DHUBRI,Overall,High,1,0.05024569109082222,99.94975328445435
10212,DIBRUGARH,General,High,1,0.22447812370955944,99.7755229473114
10212,DIBRUGARH,OBC,High,1,0.12717575300484896,99.87282156944275
10212,DIBRUGARH,SC,High,1,9.712296724319458,90.28770327568054
10212,DIBRUGARH,ST,High,1,0.17078469973057508,99.82921481132507
10212,DIBRUGARH,Overall,High,1,0.18725877162069082,99.81274008750916
10213,DIMAHASAO,General,High,1,0.07393640116788447,99.92606043815613
10213,DIMAHASAO,OBC,High,1,0.017267526709474623,99.98273253440857
10213,DIMAHASAO,SC,High,1,1.2846557423472404,98.71534705162048
10213,DIMAHASAO,ST,High,0,66.9119656085968,33.0880343914032
10213,DIMAHASAO,Overall,High,1,0.40164003148674965,99.59836006164551
10214,GOALPARA,General,High,1,0.029337560408748686,99.97065663337708
10214,GOALPARA,OBC,High,0,80.24546951055527,19.754528999328613
10214,GOALPARA,SC,High,1,4.8898134380578995,95.11018395423889
10214,GOALPARA,ST,High,1,46.21923565864563,53.78076434135437
10214,GOALPARA,Overall,High,1,0.060826080152764916,99.93916749954224
10215,GOLAGHAT,General,High,1,0.30232511926442385,99.69767332077026
10215,GOLAGHAT,OBC,High,1,0.16067076940089464,99.83932375907898
10215,GOLAGHAT,SC,High,1,0.216024462133646,99.78396892547607
10215,GOLAGHAT,ST,High,1,0.18354564672335982,99.81645941734314
10215,GOLAGHAT,Overall,High,1,0.22182371467351913,99.77818131446838
10216,HAILAKANDI,General,High,1,0.05693662678822875,99.94305968284607
10216,HAILAKANDI,OBC,High,0,80.24546951055527,19.754528999328613
10216,HAILAKANDI,SC,High,0,81.68747425079346,18.31253170967102
10216,HAILAKANDI,ST,High,1,0.021793680207338184,99.97820258140564
10216,HAILAKANDI,Overall,High,1,0.11528509203344584,99.88471269607544
10217,HOJAI,General,High,1,0.26537799276411533,99.73461627960205
10217,HOJAI,OBC,High,1,0.22069287952035666,99.77930784225464
10217,HOJAI,SC,High,1,0.11514852521941066,99.8848557472229
10217,HOJAI,ST,High,1,0.23983116261661053,99.76016879081726
10217,HOJAI,Overall,High,1,0.20046590361744165,99.7995376586914
10218,JORHAT,General,High,1,0.10040877386927605,99.89959597587585
10218,JORHAT,OBC,High,1,0.27146446518599987,99.72853660583496
10218,JORHAT,SC,High,0,81.68747425079346,18.31253170967102
10218,JORHAT,ST,High,1,10.139942169189453,89.86005783081055
10218,JORHAT,Overall,High,1,0.2742442302405834,99.72575306892395
10219,KAMRUP-METRO,General,High,1,1.7131224274635315,98.28687906265259
10219,KAMRUP-METRO,OBC,High,0,80.24546951055527,19.754528999328613
10219,KAMRUP-METRO,SC,High,1,0.33992878161370754,99.66006875038147
