,DNo,social category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,prim,snr,upPrim
0,13101,General,2,2,2.0,2,2,0.0,1,1,1.0,,,
1,13102,General,0,0,0.0,1,2,0.0,0,2,2.0,,,
2,13103,General,0,0,0.0,0,0,1.0,0,2,2.0,,,
3,13104,General,0,0,0.0,1,1,0.0,0,0,2.0,,,
4,13105,General,0,0,0.0,1,2,0.0,2,0,0.0,,,
5,13106,General,0,0,0.0,0,1,2.0,2,0,0.0,,,
6,13107,General,1,1,1.0,1,1,2.0,0,0,0.0,,,
7,13108,General,0,0,0.0,0,0,1.0,2,0,0.0,,,
0,13101,OBC,1,2,0.0,0,0,1.0,0,2,0.0,,,
1,13102,OBC,1,1,0.0,0,1,0.0,0,0,0.0,,,
2,13103,OBC,2,1,0.0,2,1,0.0,0,0,0.0,,,
3,13104,OBC,2,1,0.0,0,0,1.0,0,0,0.0,,,
4,13105,OBC,0,0,2.0,2,1,0.0,1,0,2.0,,,
5,13106,OBC,0,0,2.0,0,1,0.0,1,1,2.0,,,
6,13107,OBC,0,0,1.0,1,2,2.0,2,1,1.0,,,
7,13108,OBC,0,0,1.0,1,2,2.0,1,1,1.0,,,
0,13101,Overall,0,0,,0,0,,2,2,,1.0,0.0,2.0
1,13102,Overall,0,0,,2,1,,1,0,,1.0,1.0,1.0
2,13103,Overall,0,0,,0,0,,1,0,,0.0,0.0,1.0
3,13104,Overall,0,0,,0,0,,1,0,,0.0,0.0,1.0
4,13105,Overall,1,1,,2,1,,0,0,,0.0,1.0,1.0
5,13106,Overall,2,1,,0,1,,0,0,,0.0,0.0,0.0
6,13107,Overall,1,1,,0,0,,0,1,,2.0,0.0,0.0
7,13108,Overall,2,2,,1,2,,0,1,,2.0,2.0,0.0
0,13101,SC,1,2,1.0,0,0,1.0,1,1,1.0,,,
1,13102,SC,2,1,2.0,0,1,0.0,2,0,2.0,,,
2,13103,SC,2,1,2.0,0,0,1.0,2,0,2.0,,,
3,13104,SC,2,1,2.0,0,0,1.0,2,0,2.0,,,
4,13105,SC,0,0,0.0,2,1,0.0,0,1,0.0,,,
5,13106,SC,0,0,0.0,1,2,2.0,0,0,0.0,,,
6,13107,SC,0,0,0.0,1,2,2.0,0,2,0.0,,,
7,13108,SC,0,0,0.0,1,2,2.0,0,2,0.0,,,
0,13101,ST,2,2,2.0,2,0,2.0,0,2,0.0,,,
1,13102,ST,2,2,2.0,0,1,0.0,0,2,0.0,,,
2,13103,ST,1,0,0.0,2,2,2.0,0,2,0.0,,,
3,13104,ST,0,0,0.0,0,1,0.0,2,0,2.0,,,
4,13105,ST,1,0,0.0,0,1,0.0,2,0,2.0,,,
5,13106,ST,0,1,1.0,0,1,0.0,2,0,2.0,,,
6,13107,ST,0,0,0.0,1,0,1.0,2,0,2.0,,,
7,13108,ST,0,1,1.0,1,2,1.0,1,1,1.0,,,
