Location,Social Category,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall,DNo,latitude,longitude,state_latitude,state_longitude
AHMADNAGAR,General,0.0,0.06,0.0,0.0,0.34,0.05,8.28,8.25,8.26,11901,19.09457,74.73843,18.9068356,75.6741579
AHMADNAGAR,OBC,0.31,0.41,0.37,0.27,0.33,0.3,7.41,5.06,6.08,11901,19.09457,74.73843,18.9068356,75.6741579
AHMADNAGAR,SC,0.01,0.0,0.0,0.67,0.87,0.77,13.57,11.29,12.35,11901,19.09457,74.73843,18.9068356,75.6741579
AHMADNAGAR,ST,0.0,0.0,0.0,1.29,0.0,0.55,20.39,14.19,17.09,11901,19.09457,74.73843,18.9068356,75.6741579
AHMADNAGAR,Overall,0.0,0.0,0.0,0.2,0.36,0.29,10.19,8.32,9.15,11901,19.09457,74.73843,18.9068356,75.6741579
AKOLA,General,0.0,0.0,0.0,0.0,0.0,0.0,8.76,9.51,9.15,11902,20.4240368,79.1697121,18.9068356,75.6741579
AKOLA,OBC,3.48,3.39,3.44,2.68,2.9,2.8,6.87,8.35,7.65,11902,20.4240368,79.1697121,18.9068356,75.6741579
AKOLA,SC,0.0,0.0,0.0,0.0,0.0,0.0,6.21,6.55,6.39,11902,20.4240368,79.1697121,18.9068356,75.6741579
AKOLA,ST,0.0,0.0,0.0,1.04,0.0,0.0,16.63,16.8,16.73,11902,20.4240368,79.1697121,18.9068356,75.6741579
AKOLA,Overall,0.61,0.93,0.78,0.42,0.83,0.64,7.75,8.72,8.26,11902,20.4240368,79.1697121,18.9068356,75.6741579
AMRAVATI,General,0.0,0.0,0.0,0.44,0.0,0.0,10.33,13.21,11.79,11903,20.9316219,77.7588455,18.9068356,75.6741579
AMRAVATI,OBC,0.89,1.18,1.04,1.65,0.87,1.24,7.71,14.11,11.11,11903,20.9316219,77.7588455,18.9068356,75.6741579
AMRAVATI,SC,0.0,0.0,0.0,0.0,0.0,0.0,4.35,10.35,7.48,11903,20.9316219,77.7588455,18.9068356,75.6741579
AMRAVATI,ST,0.36,0.6,0.48,0.93,0.0,0.0,14.76,17.14,16.03,11903,20.9316219,77.7588455,18.9068356,75.6741579
AMRAVATI,Overall,0.0,0.0,0.0,0.94,0.0,0.38,8.9,13.84,11.49,11903,20.9316219,77.7588455,18.9068356,75.6741579
AURANGABAD (MAHARASHTRA),General,0.0,0.0,0.0,3.92,3.21,3.54,11.89,9.53,10.61,11904,19.85218,75.44063,18.9068356,75.6741579
AURANGABAD (MAHARASHTRA),OBC,1.96,0.68,1.26,3.2,4.07,3.68,11.74,9.07,10.26,11904,19.85218,75.44063,18.9068356,75.6741579
AURANGABAD (MAHARASHTRA),SC,1.21,1.39,1.31,3.09,3.71,3.42,11.8,9.85,10.77,11904,19.85218,75.44063,18.9068356,75.6741579
AURANGABAD (MAHARASHTRA),ST,0.0,0.01,0.0,5.02,1.48,3.13,19.83,16.59,18.01,11904,19.85218,75.44063,18.9068356,75.6741579
AURANGABAD (MAHARASHTRA),Overall,0.0,0.03,0.0,3.66,3.43,3.54,12.22,9.82,10.9,11904,19.85218,75.44063,18.9068356,75.6741579
BHANDARA,General,0.0,0.0,0.0,0.0,0.0,0.0,5.41,3.91,4.6,11905,21.1152,79.66107,18.9068356,75.6741579
BHANDARA,OBC,0.0,0.0,0.0,0.0,0.0,0.0,1.16,2.07,1.63,11905,21.1152,79.66107,18.9068356,75.6741579
